"Country","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
Fiji,1.08,1.01,10.82,4.43,3.44,4.36,4.11,2.83,6.21,8.69,6.96,11.25,8.47,20.12,23.97,25.94,31.05,28.37,28.16,48.89,63.62,81.81,67.12,63.45,37.24,23.32,46.93,29.56,63.9,31.99,34.89,34.95,57.52,41.73,12,41.92,45.7,43.13,32.77,31.08,22.84,22.56,31.23,52.15,71.03,76.37,55.68,56.73,73.86,73.51,91.22,96.86,0
French Polynesia,0,0,0,0,0,0,13.44,15.14,18.22,18.49,19.77,19.67,27.49,52.65,43.56,79.57,86.35,91.93,98.55,155.52,155.56,157.65,177.22,191.35,175,214.05,263.39,338.96,406.17,354.21,303.98,373.47,395.76,381.49,410.89,434.34,436.92,333.25,326.24,349.96,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,9.32,15.36,9.34,2.86,12.66,16.22,16.68,12.77,13.29,13.35,16.38,20.32,26.2,35.86,30.12,37.94,24.58,35.95,28.09,-6.95,-14.75,56.94,83.83,70.11,77.74,67.42,114.97,366.74,424.38,426.33,317.5,209.98,160.06,174.08,585.13,284.9,207.44,196.21,27.8,-45.26,-42.06,-52.86,72.13,-71.67,60.1,43.99,-57.11,-56.61,-117.62,16.95,53.03,147.82,0
Gambia,0.54,1.43,2.55,5.12,2.55,4.25,3.59,2.91,5.84,3.67,1.31,3.53,4.88,6.44,10.19,8.46,11.45,23.19,34.23,36.1,60.27,69.48,47.28,41.61,56.68,49.74,106.62,103.92,83.29,100.03,105.3,98.27,108.66,84.04,67.15,43.11,33.67,40.33,36.81,33.02,48.95,51.67,63.41,71.54,60.85,60.45,74.94,98.12,93.95,136.69,123.63,143.18,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,35.36,193.51,250.22,213.01,317.43,272.85,226.43,253.27,230.9,334.35,323.77,186.62,325.89,378.76,396.02,412.5,1058.44,1246.34,837.56,892.69,0
Ghana,1.94,2.37,5.11,27.41,36.42,60.32,88.65,69.31,81.66,78.06,35.11,55.34,50.71,32.12,32.12,64.87,62.56,104.96,139.54,195.38,212.53,163.01,142.32,103.82,203.32,198.82,374.15,433.15,588.87,742.93,716.35,915.38,652.01,642.44,513.94,579.13,659.6,646.25,686.86,548.85,581.41,641.01,659.49,987.61,1254.33,1118.73,1267.96,1231.65,1447.48,1869.47,1749.47,1979.23,0
Gibraltar,0.47,0.87,0.43,-0.01,0.51,1.06,1.79,2.72,0.9,1.38,2.65,3.82,4.19,6.25,6.62,3.03,2.95,4.45,3.53,6.53,11.15,7.42,3.12,3.39,10.96,28.92,20.82,14.56,16.19,0.45,-0.76,1.27,1.47,-1.53,-3.29,0.21,-0.24,0.37,0.22,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,1.89,2.73,2.71,3.33,2.59,2.84,4.35,6.56,6.57,8.49,29,34.19,27.53,22.25,21.26,15.68,12.91,15.85,14.41,7.57,21.92,8.33,11.41,10.04,7.26,14.69,19.92,14.84,13.61,18.53,21.83,61.56,34.38,26.01,32.1,50.73,30.25,7.56,0
Guatemala,14.91,12.77,8.05,10.31,10.66,12.68,8.78,19.68,20.47,20.59,22.39,19.94,32.73,30.47,30.44,42.85,81.8,113.85,102.04,99.15,143.99,106.37,117.65,98.24,96.95,171.46,157.78,188.7,231.73,260.34,221.5,150.02,122.67,205.97,303.01,205.98,223.68,333.94,386.67,478.42,321.16,302.59,433.21,290.59,333.19,251.69,689.22,724.69,688.59,1008.17,1002.07,448.32,0
Guinea,0.16,2.53,10.19,23.1,14.14,24.02,15.12,9.19,5.76,16.46,27.84,34.8,29.93,44.43,32.26,28.96,10.76,33.09,56.03,59.91,77.97,105.84,114.4,65.92,128.42,115.98,171.73,226.28,260.15,348.57,300.41,374.06,403.98,461.41,376.04,432.74,317.91,369.77,331.78,232.05,141.53,259.24,231.37,235.77,234.61,189.58,162.45,220.07,286.98,199.55,225.62,200.86,0
Guinea-Bissau,0,0.81,0,0,0,0,2.81,0.51,0,0.07,0,0.11,0,0.01,10.06,20.76,24.85,39.05,49.61,52.02,58.12,64.48,65.24,67.14,58.29,59.67,69.91,109.88,100.22,124.92,125.04,111.09,107.39,95.46,142.29,114.28,209.25,124.64,95.64,52.24,81.06,58.68,62.34,100.35,77.85,65.93,82.75,121.87,133.4,146.55,138.74,111.47,0
Guyana,7.57,9.38,8.52,6.75,4.97,6.89,8.17,11.21,16.06,17.99,17.34,18.12,15.47,11.76,33.75,37.47,30.75,17.44,35.85,53.66,51.5,89.54,53.77,40.34,26.48,31.45,39.33,38,35.41,57.6,221.53,122.69,73.35,91.08,74.26,81.13,125.99,237.96,76.25,74.29,103.9,98.14,67.92,88.04,136.77,152.44,176.81,129.5,171.26,177.62,164.13,159.23,0
Haiti,10.34,13.37,4.72,2.91,3.81,6.09,3.63,3.07,5.69,4.81,6.49,4.78,6.66,7.66,11.66,55.16,68.31,85.09,90.08,90.79,102.92,105.13,125.17,131.55,130.94,146.82,180.52,211.21,140.58,195.43,166.86,176.92,100.98,120.65,599.84,716.22,371.31,328.99,343.44,261.62,206.67,169.2,154.79,211.75,298.5,425.53,634.02,665.37,911.72,1110.82,3039.83,1742.92,0
Honduras,9.97,7.47,9.2,13.45,11.75,12.67,9.94,11.67,18.68,26.23,29.3,20.7,18.96,22.6,35.77,61.78,51.22,76.68,118.46,117.03,142.8,153.4,205.15,249.5,399.08,340.38,302.67,256.6,363.4,270.97,433.26,302.41,363.84,397.54,294.67,393.96,230.19,244.57,267.86,784.32,396.13,580.11,370.58,342.54,639.86,510.16,542.81,447.61,650.74,488.8,608.23,642.49,0
"Hong Kong, China",5.83,5.12,1.91,5.45,0.28,4.25,2.47,2.65,-0.03,63.66,51.02,97.52,63.05,160.96,34.31,23.03,11.05,-4.14,0.38,18.36,31.38,46.07,27.76,3.37,-4.71,-0.72,-0.86,10.5,14.74,33.41,31.37,36.32,-63.86,-2.94,27.91,2.27,106.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,781.43,663.19,728.27,972.84,1200.41,1286.5,1252.56,1356.13,901.27,862.75,822.67,994.86,591.97,712.34,1181.86,1556.45,1712.02,980.87,1187.32,1383.58,2318.31,2130.03,2043.72,2163.86,1921.02,1866.69,2560.33,2293.72,3459.77,3279.76,2900.15,4364.26,3344.33,2389.99,3284.52,1769.98,2358.04,2044.87,2141.87,1862.28,1153.41,1451.92,1111.06,-3309.07,343.14,2964.77,3313.02,4386.69,4912.35,5692.23,7834.65,5561.09,0
Indonesia,83.08,115.02,157.73,108.15,66.9,42.87,86.03,259.5,334.84,333.45,509.03,570.75,577.33,668.08,740.39,817.59,1059.14,834.42,938.13,905.02,1311.83,1248.86,1587.25,1533.7,1832.29,1339.52,1451.18,3410.81,3626.63,3715,3255.42,4029.05,4469.82,3687.37,1840.12,2705.29,342.16,2183.52,5525.11,5668.94,2316.76,1045.46,19.65,883.25,-1387.12,863.71,1419.05,-369.89,584.88,981.41,2941.8,431.97,0
Iran,28.83,139.9,66.01,28.35,0.87,22.02,28.67,57.97,106.36,91.44,84.4,171.39,168.75,90.11,116.89,191.55,72.69,229.83,429.46,-233.91,135.85,-63.46,-201.76,-231.47,-97.75,-95.64,-37.22,-1.99,-38.27,22.86,-94.44,149.34,201.12,405.87,3943.94,395.51,-453.29,-460.8,-279.46,399.83,-586.5,678.19,1041.37,1351.51,1793.29,982.11,460.29,0.67,151.89,-213.2,-601.74,-1267.6,0
Iraq,-1.95,1.48,5.18,5.16,12.68,8.32,8.55,12.23,12.54,16.2,18.39,26.44,24.7,13.47,32.96,209.28,64.43,-55.98,92.47,34.56,8.88,258.71,303.02,39.47,-14.73,121.64,30.02,310.63,7.5,6.18,700.01,947.89,324.16,169.41,248.83,322.3,342.72,222.34,117.46,76.79,101.83,159.27,113.38,2287.65,4599.12,27256.4,8221.05,6295.09,9632.25,2828.5,2470.5,2222.5,0
Israel,103.86,107.25,112.1,129.94,104.56,152.73,128.57,74.98,56.45,61.35,78.4,112.25,90.6,201.3,121.71,509.73,701.23,810.03,955.63,1234.5,917.67,892.55,902.2,1410.31,1251.69,1917.19,1882.5,1191.11,1148.49,1125.45,1351.05,1706.17,2009.11,1228.34,1224.11,317.47,2205.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,10.29,12.6,3.15,3.85,9.87,13.47,22.19,17.21,16.97,28.56,37.85,21.51,49.9,72.36,50.84,49.53,48.24,160.23,130.23,254.24,207.72,307.91,248.19,285.01,300.98,197.06,225.82,272.14,370.72,325.32,214.68,31.38,138.72,125.6,87.62,30.39,24.13,-4.97,12.23,128.78,89.2,157.93,18.1,78,-56.69,20.76,-31.84,137.38,265.4,926.01,418.67,0
Jordan,88.29,91.69,81.73,82.65,75.45,68.85,76.63,50.96,45.82,48.53,81.56,71.13,110.43,208.89,341.52,490.28,612.12,462.63,512.26,1498.63,1712.38,1573.23,1004.87,880.13,719.97,636.89,693.3,654.44,343.39,454.35,1145.73,922.45,597.9,369.4,441.49,1031.85,713.17,531.8,501.93,484.01,552.49,513.84,734.71,1493.16,475.02,787.02,558.67,669.38,428.74,1180.35,1187.37,985.49,0
Kazakstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.5,38.07,57.19,406.36,435.84,491.42,405.83,877.42,388.42,277.69,280.51,359.78,504.29,428.03,-362.35,452.47,1218.57,936.05,1038.79,2289.38,1397.19,0
Kenya,20.88,64.5,51.12,56.89,56.13,71.23,61.91,51.3,60.65,63.43,74.73,96.48,107.97,157.27,156.96,201.1,236.42,214.57,325.39,412.67,462.53,497.28,567.83,480.48,524.03,528.19,509.58,527.99,758.73,1094.53,1141.3,868.91,861.18,839.16,593.78,630.16,465.42,337.1,313.61,221.1,478.9,429.91,360.14,478.64,647.06,779.36,968.8,1263.3,1410.6,1865.06,1698.95,2918.19,0
Kiribati,0.02,0.26,0.32,0.41,0.28,0.43,0.62,1.43,1.3,1.38,2.18,2.54,4.21,5.97,5.61,5.66,4.03,6.17,10.71,9.06,19.16,23.27,15.1,16.8,11.94,12.03,13.38,18.36,16.16,17.45,20.22,19.8,26.54,15.73,15.28,15.34,12.8,15.68,17.31,20.86,17.87,12.43,20.97,18.97,16.93,28.23,27.39,27.37,27.57,27.52,23.66,64.86,0
Korea,250.71,229.15,236.21,262.2,171.55,220.49,232.32,262.69,303.56,425.91,346.16,429.69,466.97,441.52,404,762.15,781.89,631.54,962.89,800.33,580.88,853.94,1130.65,930.35,577.17,145.95,-193.65,-1404.7,-1058.73,-683.68,-491.19,-288.12,-329.51,-1017.19,-588.34,-354.11,-278.56,4560.22,5599.66,5996.72,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,5.38,5.25,17.8,-33.85,25.88,6.85,10.15,10.16,17.39,5.53,16.98,25.57,83.98,160.1,201.68,74.15,146.74,232.69,130.99,148.86,88.18,50.41,98.73,207.91,68.87,80.04,159.59,0
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.46,634.67,638.65,0
Kuwait,0,-0.16,-3.55,-5.51,-3.88,-0.28,-1.34,12.22,31.63,2.18,1.83,0.36,-13.48,-14.35,-9.62,-4.34,0.49,0.51,0.94,1.17,10.25,9.4,5.06,4.37,4.23,4.21,4.82,3.39,6.07,4.72,12.9,23.24,14.47,35.29,14.95,20.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68,129.51,191.39,338.32,303.18,254.99,237.43,286.81,211.54,160.71,137.52,194.11,259.61,329.34,262.65,269.53,364.42,316.97,405.33,572.79,0
Laos,33.37,51.58,31.24,36.5,45.79,68.2,69.19,74.02,59.91,66.75,69.19,72.31,66.68,75.49,59.87,38.34,28.62,31.63,71.09,54.05,45.85,42.9,45.25,35.66,35.98,39.66,46.69,57.29,75.82,142.99,149.07,139.75,162.64,200.03,214.2,307.01,331.11,328.63,277.05,304.19,280.29,245.32,278.45,300,269.26,361.53,412.04,451.87,502.37,427.28,386.72,393.48,0
Lebanon,16.81,15.41,11.2,9.78,7.86,11.34,7.64,7.26,23.49,14.64,19.08,0.94,10.09,16.41,164.01,69.04,43.54,116.07,227.74,137.67,324.8,471.03,184.49,124,56.49,82.31,55.71,116.96,131.36,110.6,263.16,118.75,105.53,173.71,290.47,314.66,309.37,415.46,448.43,259.86,268.83,205.88,184.13,1120.53,240.19,182.75,748.25,1026.88,1057.4,400.2,389.43,303,0
Lesotho,1.56,4.14,5.93,5.64,5.66,9.49,12.54,13.78,13.18,13.07,9.73,16.57,13.84,13.93,20.62,28.48,28.52,36.67,50.82,65.46,93.7,105.71,95.32,108.7,104.06,105.45,87.75,104.68,114.77,132.46,139.67,124.25,186.88,176.48,143.59,134.13,125.36,102.98,52.65,15.89,47.11,57.08,48.96,54.89,94.97,58.72,62.92,119.35,139.34,120.34,258.23,293.73,0
Liberia,9.92,26.87,78.9,34.09,15.74,36.41,59.47,40.18,12.59,19.07,5.25,9.31,-19.14,1.72,-3.51,38.36,82.67,31.65,37.81,74.36,100.09,125.36,115.74,146.64,153.34,110.67,85.21,73.21,107.62,43.69,66.46,168.37,118.99,124.76,64.97,119.67,172.49,78.31,104.39,92.19,69.06,37.78,54.46,106.24,580.17,221.79,260.43,481.7,1078.27,538.1,1348.04,770.25,0
Libya,42.76,36.18,32.06,26.04,17,5.89,0.15,3.04,9.25,11.25,8.67,6.15,7.04,11.29,12.82,3.45,24.26,26.62,25.64,7.61,1.68,30.76,126.17,14.7,12.54,14.66,35.74,59.37,6.68,7.73,8.34,10.1,4.38,9.15,3.11,5.84,3.77,3.98,5.55,4.7,0,0,0,0,0,23.77,37.51,19.41,74.2,41.06,6.54,639.82,0
Macao,1.78,1.2,0,1.02,0,0,0.34,0.14,0.17,0.07,0.21,0.19,0.09,0.12,0.03,0.02,0,0,0,0.02,4.43,0.01,0.72,0.56,0.45,0.42,3.03,0.14,0.35,0.33,0.23,0.12,0.13,0.18,0.29,-4.01,0.32,0.36,0.5,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia (FYROM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,36.31,93.03,145.11,190.41,162.62,267.01,269.41,254.59,222.77,269.23,302.84,277.83,246.62,170.11,326.66,172.55,270.74,238.35,0
Madagascar,2.65,1.49,4.99,7.99,47.59,50.82,47.7,43.64,48.62,45.55,49.29,50.22,58.06,57,71.1,94.52,63.16,69.45,94.08,201.9,238.47,272.19,323.75,233.13,236.34,252.57,347.78,395.31,308.11,373.09,411.85,466.9,350.24,357.13,280.93,299.7,348.71,995.17,392.35,354.38,314.71,353.52,365.39,546.28,1221.67,786.17,772.81,906.3,2031.46,1121.45,865.54,626.07,0
Malawi,4.16,8.23,11.61,16.46,32.56,33.63,31.71,30.04,46.93,27.5,36.79,33.04,37.18,31.2,41.68,63.54,66.01,88.3,120.99,179.5,170.26,166.65,145.15,121.57,186.35,116.78,188.97,283.08,391.86,395.35,486.28,545.82,568.19,486.65,457.85,416.16,475.69,340.1,434.08,443.57,443.7,400.2,373.94,510.13,504.51,570.78,696.8,742.29,937.43,772.87,1014.01,786.81,0
Malaysia,14.98,20.31,30.82,13.23,17.18,34.18,48.38,40.09,56.75,65.36,44.25,61.97,103.02,77.49,116.7,158.33,154.57,191.73,160.91,211.66,216.26,257.63,264.24,357.95,447.44,385.02,209.32,389.7,65.51,-29.53,538.54,453.42,541.68,1.31,45.95,399.85,-774.51,-240.41,621.32,555.2,-117.28,486.3,368.45,240.75,205.66,-542.37,-235.28,-692.76,-49,354.09,148.25,448,0
Maldives,0.03,0.26,0.48,0.3,0.28,0.12,1.99,0.37,0.29,0.17,0.24,0.85,0.64,0.78,0.91,3.46,4.21,3.95,8.12,6.28,20.96,12.67,12.23,10.63,5.42,10.25,15.39,16.97,26.72,59.87,24.94,31.59,35.14,28.92,29.09,59.07,33.32,41.69,32.22,27.35,16.17,21.62,24.92,47.01,29.73,118.78,62.39,53.62,60.41,71.06,85.13,32.63,0
Mali,0.08,2.44,9.56,6.91,17.24,21.61,24.92,17.17,27.86,23.18,22.06,30.35,37.82,70.61,119.64,143.83,91.42,109.6,163.42,194.82,267.93,229.17,211.28,223.72,323.73,377.63,378.32,359.86,439.02,449.07,480.26,452.65,430.53,388.42,444.26,584.92,517.31,429.2,344.15,347.89,271.62,332.09,422.13,554.77,578.46,716.27,859.73,898.85,963.82,996.39,1156.17,1278.73,0
Malta,12.33,9.77,8.84,17.24,20.1,19.74,18.36,16.41,16.8,14.71,19.24,17.35,14.77,27,25.23,35.05,38.43,43.48,44.33,51.27,35.13,49.03,25.61,60.17,11.51,17.84,10.72,8.14,-0.53,6.31,27.72,64.73,0.4,45.7,48.8,-27.39,59.74,20.2,19.5,22.7,19.63,-0.18,-25.34,0,0,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,7.68,32.25,49.36,38.88,72.94,62.93,50.33,62.9,57.23,76.05,64.14,57.28,51,56.69,55.04,51.69,53.15,58.28,90.31,81.94,0
Mauritania,0.04,16.31,33.84,20.62,12.08,9.3,19.2,8.31,20.99,17.83,17.3,7.48,2.82,41.97,102.64,52.87,269.99,175.24,261.49,187.51,231.44,259.58,239.53,231.62,176.98,221.56,231.21,205.03,180.94,231.72,224.88,210.87,221.29,326.85,251.43,218.45,266.49,247.02,161.35,220.14,219.29,267.53,358.19,219.59,210.87,188.11,215.88,356.72,455.53,362.5,438.3,426.11,0
Mauritius,0.53,5.5,4.29,5.81,6.55,4.19,4.78,4.92,9.64,5.12,5.71,8.93,10.65,13.63,24.5,32.95,20.52,31.18,52.3,40.05,47.94,81.88,54.82,46.12,59.41,49.39,59.54,81.76,114.48,81.41,107.2,68.94,23.28,16,-25.7,3.65,34.41,30.77,19.12,15.8,-18.06,8.83,92.89,-37.32,23.26,18.51,-9.14,110.39,167.78,291.87,473.02,263.8,0
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,12.91,18.15,22.65,14.87,12.72,14.59,13.96,20.8,28.3,38.8,43.48,43.33,60.51,72.16,74.73,83.32,104.67,107.75,129.69,104.25,104.37,111.75,103.19,127.45,122.13,160.2,197.59,190.2,338.42,395.12,465.57,535.05,605.86,0,0
Mekong Delta Project,0,0,0,0,0,0,0,0,0.02,1.83,0,0.14,0.2,0.56,3.95,7.1,0.34,0.34,0.87,0.5,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,16.47,72.22,50.94,85.13,43.99,64.53,125.26,109.66,141.47,123.62,191.94,135.21,176,206.4,403.45,460.97,453.79,468.61,314.5,461.4,881.7,1231.55,1917.24,-149.4,1081.61,805.62,1091.4,1767.93,1205.65,1073.33,5024.23,2138.66,1260.53,550.78,-230.52,407.82,-103.83,-799.77,-306.71,-1722.22,74.1,57.5,537.18,205.41,-1246.58,-204.18,-8110.09,-117.52,1792.68,7003.38,5487.59,4309.98,0
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,13.6,63.83,104.94,78.16,113.12,95.69,79.32,107.77,101.43,137.54,112.01,114.94,86.79,106.84,108.73,115.2,94.85,121.44,126.01,136.47,0
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.25,75.74,153.73,121.33,126.74,165.73,111.78,117.36,138.61,231.91,249.89,327.81,219.01,525.27,489.66,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.4,3.4,3.4,2.4,2.4,2.4,2,2.12,5.17,6.52,4.68,3.83,6.09,13.05,70.64,153.41,131.37,174.26,196.6,198.96,251.18,202.85,221.43,216.96,213.7,209.51,251.8,265.97,219.81,197.7,241.27,349.17,407.64,465.53,388.66,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14,20.13,1.36,97.36,4.4,169.11,143.3,107.43,99.33,0
Montserrat,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0.03,2.7,4.48,3.37,3.16,1.38,1.39,3.84,3.69,4.18,2.2,1.82,2.2,4.18,3.72,5.79,7.06,8.29,9.26,7.21,11.78,12.71,9.76,14.33,42.62,65.56,40.82,30.89,33.01,41.57,36.59,44.46,27.61,32.37,36.33,34.74,44.08,25.75,46.64,0
Morocco,59.9,111.33,79.4,96.91,104.08,113.81,112.66,72.64,99.85,87.02,118.73,174.74,108.83,96.46,154.84,386.73,418.48,857.49,555.51,650.69,1240.99,1150.38,1033.7,712.95,1096.03,1468.37,1170.52,864.83,1072.5,1070.55,1889.18,2142.46,1261.82,814.45,586.65,493.65,778.25,65.71,514.09,774.34,291.38,172.07,206.76,-93.12,542.06,1070.69,1310.53,1507.66,1856.91,1313.13,1123.09,2195.02,0
Mozambique,0.02,3.59,0.09,0.17,-0.04,0,7.22,17.98,0.49,0,1.58,-0.08,1.05,-0.37,0.69,20.33,128.14,76.24,133.27,193.87,199.61,144.53,212.86,205.85,247.26,387.3,407.96,646.89,939.48,715.11,999.36,1091.28,1468.51,1186.81,1198.11,1035.58,1014.17,1067.29,1192.87,1078.45,1072.68,970.01,2037.1,928.93,1342.93,1279.38,1657.61,1505.32,1941.71,1997.33,1999.58,2094.7,0
Myanmar (Burma),37.86,21.98,31.66,45.3,23.26,14.91,15.49,10.48,20.2,27.32,21.55,47.55,46.43,67.53,63.02,53.86,68.28,101.38,276.5,366.69,313.44,283.12,314.46,296.88,273.11,344.32,397.09,348.5,440.7,107.66,183.99,201.43,142.15,122.33,179.85,154.35,40.17,120.89,130.4,133,125.81,99.88,87.09,91.9,87.61,116.9,86.89,173.37,454.91,344,353.42,375.25,0
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,5.27,14.58,16.53,22.12,58.5,119.62,181.65,142.34,154.65,143.6,192.45,187.08,166.11,178.42,183.24,153.95,118.02,143.04,170.49,153.76,142,172.08,263.65,210.27,352.73,402.73,282.13,0
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0.01,0,0.01,0,0.02,0.03,4.03,0.02,-3.97,0.03,0.05,0.04,0.06,0.18,0.05,0.16,0.38,0.41,0.42,11.12,2.53,3.25,2.62,2.12,8.85,4,7.26,11.72,16.14,13.95,9.47,18.09,26.02,30.36,24.32,28.09,37.59,0
Nepal,8.62,10.63,9.04,16.22,19.49,17.82,15.18,13.97,10.9,10.78,23.43,23.85,30.2,35.29,33.3,43.79,49.5,79.61,76.27,133.52,159.64,177.85,196.5,197.87,196.33,234.12,294.67,350.39,408.95,499.65,432.1,447.92,430.22,365.55,446.79,428.54,396.87,423.93,436.99,369.52,409.05,387.37,336.2,459.22,416.67,416.27,518.67,594.82,693.37,844.21,811.62,884.11,0
Netherlands Antilles,0.1,0.54,0.59,2.73,12.92,5.76,1.52,15.88,22.64,18.44,26.78,25.18,33.89,19.51,29.31,30.79,47.57,40.72,46.72,55.65,117.96,77.86,88.59,63.54,60.97,61.03,55.4,45.36,58.05,69.88,50.06,82.54,93.85,73.15,2.22,96.99,115.21,105.21,125.33,124.82,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,17.2,11.61,15.81,16.24,22.53,37.88,54.56,84.76,70.75,90.7,65.83,84.15,130.64,155.65,213.02,155.33,165.92,197.45,132.64,161.58,218.33,267.94,326.41,295.99,325.81,391.62,483.67,487.4,448.75,548.82,381.25,350.62,375.86,311.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,7.8,7.74,7.2,10.55,12.98,10.95,15.79,18.22,16,23.12,28.01,23.72,13.11,37.46,51.91,53.11,55.04,55.74,47.05,114.5,232.57,274.36,139.32,158.39,153.68,118.84,172.9,165.03,231.23,244.31,326.63,711.46,714.64,317.32,610,823,1468.77,413.51,621.03,685,552.12,1069.02,506.41,844.99,977.22,636.71,762.21,852.57,790.64,792.6,673.86,730.37,0
Niger,0.04,1.99,4.38,4.41,14.86,15.13,22.07,22.02,30.67,33.36,33.61,42.17,43.62,73.03,135.33,137.49,130.61,103.95,166.55,185.04,187.57,227.78,278.76,201.93,188.67,317.86,313.63,372.55,363.5,305.48,392.93,376.11,378.65,333.1,369.87,199.84,198.21,293.18,248.69,174.22,184.8,220.94,187.09,506.09,570.67,513.92,535.19,546.89,610.89,455.8,744.15,627.87,0
Nigeria,39.74,33.42,30.38,16.22,53.77,98.61,93.34,114.29,74.85,109.02,118.14,143.57,136.29,89.77,107.07,109.36,82.95,78.9,74.22,66.06,134.45,129.98,624.1,552.42,472.13,77.69,598.88,1267.54,902.64,1607.33,1307.7,720.47,916.09,716.62,390.64,-67.1,-233.82,-223.07,-191.65,-274.75,-390.6,-320.62,3233.31,417.58,733.18,6308.64,4590.54,1444.97,837.85,1703.38,1906.21,2293.12,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.65,2.9,2.27,2.78,3.4,4.2,4.97,3.69,4.18,4.39,5.56,3.15,3.53,4.16,6.73,5.25,5.59,7.16,9.41,4.71,4.61,6.95,8.24,6.72,5.32,4.08,4.13,3.2,3.43,4.69,9.15,14.27,21.09,8.96,14.77,18.04,8.97,15.19,20.85,0
Northern Marianas,5,6.01,8.02,17.01,11.08,18.21,18.08,20.22,29.91,46.11,48.19,53.26,57.21,65.61,75.28,81.33,89.57,91.61,101.21,111.67,111.03,135.91,161.5,133.56,185.09,158.86,381.84,185.28,152.21,158.75,63.11,29.14,7.39,87.61,31.22,18.76,-3.13,0.49,-2.3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0.25,0.33,0.44,0.36,4.06,1.84,0.62,0.94,0.07,0.04,0.07,2.04,9.86,22.54,178.92,167.82,185.37,385.2,78.77,304.51,339.99,253.04,97.96,51.15,119.28,72.88,87.1,29.75,-16.46,41.29,64.69,53.58,95.64,165.49,105.42,68.48,80.35,91.82,533.05,3.08,84.62,0.8,36.31,122.17,262.39,263.76,392.27,427.21,387.03,425.56,-74.36,0,0
